NoLink,Provinsi,KotaKab,Link,TipeFaskes,No,KodeFaskes,NamaFaskes,LatLongFaskes,AlamatFaskes,TelpFaskes
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Rumah Sakit,1,1007R001,"RSU Pandeglang
                    
                        

","http://maps.google.co.id/?q=-6.331667,106.083763",Jl. Raya Labuan Km 05 Cikoneng,"
 0253-202077
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,1,02190002,"Majasari
                    
                        

","http://maps.google.co.id/?q=-6.329242,106.093714",Jl. Raya Stadion Badak,"
 0252-025320540
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,2,02190003,"Pulo Sari
                    
                        

","http://maps.google.co.id/?q=-6.3632821,105.9463234",Jl. Raya Menes Baru I Km 05,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,3,02190004,"Cibitung
                    
                        

","http://maps.google.co.id/?q=-6.764,105.721",Jl.Raya Pantai Selatan Km 4,"
 08129480867
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,4,10070101,"Pandeglang
                    
                        

","http://maps.google.co.id/?q=-6.3294864,106.109746",Jl. Salim No. 02,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,5,10070102,"Cikupa
                    
                        

","http://maps.google.co.id/?q=-6.3129042,106.1013107",Jl. Raya Pandeglang-Labuan Km2,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,6,10070201,"Cadasari
                    
                        

","http://maps.google.co.id/?q=-6.269,106.12",Jl. Raya Serang Km.05,"
 0253-204243
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,7,10070202,"Bangkonol
                    
                        

","http://maps.google.co.id/?q=-6.324,106.129",Jl. Raya Rangkasbitung Km 04,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,8,10070203,"Pagadungan
                    
                        

","http://maps.google.co.id/?q=-6.038,106.155",Jl. Raya Serang Km.03,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,9,10070301,"Banjar
                    
                        

","http://maps.google.co.id/?q=-6.373,106.101",Jl. Raya Cibiuk No.02,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,10,10070401,"Cimanuk
                    
                        

","http://maps.google.co.id/?q=-6.348219,106.042512",Jl. Raya Labuan Km.11 Cigunung,"
 0253-401479
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,11,10070501,"Mandalawangi
                    
                        

","http://maps.google.co.id/?q=-6.295369,105.981739",Jl. Raya Pari Km.13 Kd. Maria,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,12,10070601,"Menes
                    
                        

","http://maps.google.co.id/?q=-6.375805,105.919875",Jl. Perintis Kemerdekaan,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,13,10070701,"Saketi
                    
                        

","http://maps.google.co.id/?q=-6.39364,105.995503",Jl. Raya Labuan Km. 19,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,14,10070702,"Picung
                    
                        

","http://maps.google.co.id/?q=-6.505085,105.982331",Jl Raya Saketimalingping Km.15,"
 0253-082258950
"
