timestamp,hospital_id,hospital_name,location,hospital_class,total_beds,occupied_beds,available_beds,occupancy_rate,status,wait_time_minutes
2025-12-02 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,87,15,85.95,HAMPIR PENUH,121
2025-12-02 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,90,12,88.48,HAMPIR PENUH,135
2025-12-02 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,73,29,72.21,SIBUK,107
2025-12-03 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,60,42,59.45,NORMAL,53
2025-12-03 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,94,8,92.21,HAMPIR PENUH,125
2025-12-03 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,86,16,84.74,SIBUK,62
2025-12-03 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,68,34,67.64,NORMAL,36
2025-12-04 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,63,39,62.09,NORMAL,49
2025-12-04 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,72,30,70.78,SIBUK,72
2025-12-04 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,89,13,87.85,HAMPIR PENUH,164
2025-12-04 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,81,21,79.81,SIBUK,74
2025-12-05 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,67,35,66.47,NORMAL,38
2025-12-05 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,91,11,90.16,HAMPIR PENUH,120
2025-12-05 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,90,12,88.91,HAMPIR PENUH,130
2025-12-05 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,85,17,83.43,SIBUK,81
2025-12-06 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,61,41,59.85,NORMAL,36
2025-12-06 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,90,12,89.13,HAMPIR PENUH,141
2025-12-06 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,70,32,69.02,NORMAL,42
2025-12-06 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,67,35,65.76,NORMAL,57
2025-12-07 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,62,40,61.12,NORMAL,38
2025-12-07 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,87,15,85.6,HAMPIR PENUH,166
2025-12-07 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,78,24,77.42,SIBUK,67
2025-12-07 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,87,15,85.43,HAMPIR PENUH,144
2025-12-08 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,60,42,58.97,NORMAL,39
2025-12-08 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,92,10,90.65,HAMPIR PENUH,159
2025-12-08 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,93,9,92.04,HAMPIR PENUH,143
2025-12-08 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,82,20,80.58,SIBUK,105
2025-12-09 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,59,43,58.78,NORMAL,51
2025-12-09 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,77,25,75.77,SIBUK,78
2025-12-09 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,96,6,94.51,HAMPIR PENUH,174
2025-12-09 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,73,29,72.44,SIBUK,66
2025-12-10 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,66,36,65.07,NORMAL,44
2025-12-10 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,87,15,85.86,HAMPIR PENUH,143
2025-12-10 16:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,75,27,74.15,SIBUK,82
2025-12-10 22:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,73,29,71.89,SIBUK,77
2025-12-11 04:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,73,29,71.59,SIBUK,103
2025-12-11 10:13:49,3175414,RS Umum Daerah Cilincing,Kota Jakarta Utara,C,102,87,15,86.16,HAMPIR PENUH,158
